seqnames start end CI.start CI.end genoT deltaW filenames
chr11 69120321 69124075 915168 70085719 wc-ww 76 blm-1-single-c1-w13-3d6_S7_.trimmed.mdup.bam.RData.3
chrX 72585463 73401704 71618284 126889696 cc-wc 79 blm-1-single-c1-w13-3d6_S7_.trimmed.mdup.bam.RData.4
chr2 95668096 96565654 86594157 109675379 cc-ww 168 blm-1-single-c1-w15-3d6_S8_.trimmed.mdup.bam.RData
chr6 56423773 56863342 6655898 63015825 wc-cc 51 blm-1-single-c1-w17-3d6_S9_.trimmed.mdup.bam.RData.1
chr11 92281939 92602111 89381765 113108729 cc-wc 76 blm-1-single-c1-w17-3d6_S9_.trimmed.mdup.bam.RData.2
chr1 119539500 120509553 118990548 149022090 cc-wc 29 blm-1-single-c1-w19-3d6_S10_.trimmed.mdup.bam.RData.1
chr1 148439084 150969653 145885348 151303099 wc-cc 27 blm-1-single-c1-w19-3d6_S10_.trimmed.mdup.bam.RData.2
chr3 71045771 71155504 68921212 73205709 ww-cc 168 blm-1-single-c1-w19-3d6_S10_.trimmed.mdup.bam.RData.3
chr4 170387238 170500557 167858577 184003615 cc-ww 149 blm-1-single-c1-w19-3d6_S10_.trimmed.mdup.bam.RData.4
chr5 126228873 126392345 122386610 128412374 ww-cc 171 blm-1-single-c1-w19-3d6_S10_.trimmed.mdup.bam.RData.5
chr8 36513456 36782843 36235494 37091246 wc-ww 87 blm-1-single-c1-w19-3d6_S10_.trimmed.mdup.bam.RData.6
chr9 129131513 129192271 128275764 132987143 ww-cc 135 blm-1-single-c1-w19-3d6_S10_.trimmed.mdup.bam.RData.7
chr11 107339801 107788166 106568563 108080230 cc-wc 83 blm-1-single-c1-w19-3d6_S10_.trimmed.mdup.bam.RData.8
chr1 44649127 45116435 42648511 47253214 cc-ww 168 blm-1-single-c1-w21-3d6_S11_.trimmed.mdup.bam.RData.1
chr9 123886569 124024303 122810933 134923112 cc-wc 69 blm-1-single-c1-w21-3d6_S11_.trimmed.mdup.bam.RData.2
chr20 25870636 29026382 25326376 64228702 cc-wc 5 blm-1-single-c1-w21-3d6_S11_.trimmed.mdup.bam.RData.3
chr20 30373897 32216132 29790203 32905074 wc-cc 5 blm-1-single-c1-w21-3d6_S11_.trimmed.mdup.bam.RData.4
chr21 31772973 31913065 31386312 46679479 cc-wc 67 blm-1-single-c1-w21-3d6_S11_.trimmed.mdup.bam.RData.5
chr8 56961247 57342677 55200189 65399550 wc-cc 72 blm-1-single-c1-w23-3d6_S12_.trimmed.mdup.bam.RData
chr3 137945300 137986734 135712144 141906252 ww-wc 76 blm-1-single-c1-w27-3d6_S14_.trimmed.mdup.bam.RData.1
chr8 64609403 64652638 63920785 67629043 wc-ww 47 blm-1-single-c1-w27-3d6_S14_.trimmed.mdup.bam.RData.2
chr3 125876522 126472128 124195981 164235834 cc-wc 96 blm-1-single-c1-w29-3d6_S15_.trimmed.mdup.bam.RData.1
chr7 54484012 55496983 47751909 65379867 cc-ww 169 blm-1-single-c1-w29-3d6_S15_.trimmed.mdup.bam.RData.2
chr9 92524052 92790755 90774053 124862115 cc-wc 95 blm-1-single-c1-w29-3d6_S15_.trimmed.mdup.bam.RData.3
chr10 75063578 75370406 69964245 84512181 cc-ww 171 blm-1-single-c1-w29-3d6_S15_.trimmed.mdup.bam.RData.4
chr4 108767657 108956843 93031113 189827199 cc-ww 147 blm-1-single-c1-w3-3d6_S2_.trimmed.mdup.bam.RData.1
chr12 93578415 93611931 88346512 132120210 cc-wc 110 blm-1-single-c1-w3-3d6_S2_.trimmed.mdup.bam.RData.2
chr15 71477037 71586386 70437914 71841930 ww-cc 92 blm-1-single-c1-w3-3d6_S2_.trimmed.mdup.bam.RData.3
chr6 54473289 56371592 5992251 62036243 wc-ww 63 blm-1-single-c1-w31-3d6_S16_.trimmed.mdup.bam.RData.1
chr15 69413729 69494529 56017993 70368389 cc-wc 58 blm-1-single-c1-w31-3d6_S16_.trimmed.mdup.bam.RData.2
chr3 57984442 58167807 57319638 60470414 wc-ww 37 blm-1-single-c1-w33-3d6_S17_.trimmed.mdup.bam.RData
chr2 15691887 15747499 280784 16262969 wc-cc 51 blm-1-single-c1-w35-3d6_S18_.trimmed.mdup.bam.RData.1
chr8 65611107 65851942 64755007 66287139 wc-cc 75 blm-1-single-c1-w35-3d6_S18_.trimmed.mdup.bam.RData.2
chr9 126230341 126234439 125154105 134959582 cc-wc 106 blm-1-single-c1-w35-3d6_S18_.trimmed.mdup.bam.RData.3
chr22 32689953 32746396 19825890 33403482 wc-cc 66 blm-1-single-c1-w35-3d6_S18_.trimmed.mdup.bam.RData.4
chr11 79473038 81388451 77198160 118533532 ww-wc 74 blm-1-single-c1-w37-3d6_S19_.trimmed.mdup.bam.RData
chr1 122703374 123752701 120092185 148304686 cc-wc 66 blm-1-single-c1-w39-3d6_S20_.trimmed.mdup.bam.RData.1
chr1 157154645 157269078 156534295 158112319 wc-cc 67 blm-1-single-c1-w39-3d6_S20_.trimmed.mdup.bam.RData.2
chr6 100175828 100372949 95664345 104246128 cc-ww 160 blm-1-single-c1-w39-3d6_S20_.trimmed.mdup.bam.RData.3
chr8 100961395 101085098 97099704 103139318 ww-cc 161 blm-1-single-c1-w39-3d6_S20_.trimmed.mdup.bam.RData.4
chr11 107498827 107715958 106776420 108458326 cc-wc 83 blm-1-single-c1-w39-3d6_S20_.trimmed.mdup.bam.RData.5
chr15 60827331 60833404 60299671 61208066 ww-wc 80 blm-1-single-c1-w39-3d6_S20_.trimmed.mdup.bam.RData.6
chr1 120121307 146029700 115148175 151177193 ww-wc 21 blm-1-single-c1-w43-3d6_S22_.trimmed.mdup.bam.RData.1
chr2 89668114 91885795 65447351 109269926 wc-ww 70 blm-1-single-c1-w43-3d6_S22_.trimmed.mdup.bam.RData.2
chr3 158780902 158798524 157105690 195960378 cc-wc 70 blm-1-single-c1-w47-3d6_S24_.trimmed.mdup.bam.RData.1
chr6 134390201 134526213 133037353 162289281 ww-wc 78 blm-1-single-c1-w47-3d6_S24_.trimmed.mdup.bam.RData.2
chr11 70433109 70545634 69192369 133050897 ww-wc 78 blm-1-single-c1-w47-3d6_S24_.trimmed.mdup.bam.RData.3
chr15 71896617 72676056 71375424 73332459 ww-wc 10 blm-1-single-c1-w47-3d6_S24_.trimmed.mdup.bam.RData.4
chr15 73975617 78218865 73113681 78647100 wc-ww 10 blm-1-single-c1-w47-3d6_S24_.trimmed.mdup.bam.RData.5
chr16 28575670 29137612 23671627 32955459 ww-cc 151 blm-1-single-c1-w47-3d6_S24_.trimmed.mdup.bam.RData.6
chr4 79614991 80771031 10558611 83434541 wc-cc 65 blm-1-single-c1-w5-3d6_S3_.trimmed.mdup.bam.RData
chr3 43921173 43999650 13584684 45273762 wc-ww 99 blm-1-single-c1-w7-3d6_S4_.trimmed.mdup.bam.RData.1
chr9 116960148 117356814 114474801 133499505 cc-wc 83 blm-1-single-c1-w7-3d6_S4_.trimmed.mdup.bam.RData.2
chr9 125168190 125288711 124805294 138065342 ww-wc 104 blm-1-single-c1-w9-3d6_S5_.trimmed.mdup.bam.RData.1
chr22 32695682 32899506 21614910 33230320 wc-ww 75 blm-1-single-c1-w9-3d6_S5_.trimmed.mdup.bam.RData.2
chr1 122788304 122877443 121316850 123094137 cc-wc 52 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.1
chr1 148661794 148718227 147756475 149089148 wc-cc 80 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.2
chr1 155066730 155144926 154970846 155222930 cc-wc 68 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.3
chr1 156919544 156939326 156516178 157000938 wc-cc 67 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.4
chr2 131609324 131641155 131126412 132254327 ww-cc 172 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.5
chr3 47278806 47354318 47008001 47740306 ww-cc 171 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.6
chr3 63870266 63884740 63463829 64268354 cc-ww 173 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.7
chr4 154385541 155506888 154332038 155637550 ww-wc 15 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.8
chr4 155767036 157442947 155741448 157551064 wc-ww 15 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.9
chr5 138382099 138968872 138269562 139439564 cc-wc 45 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.10
chr5 140431375 141259696 140323464 141395387 wc-cc 44 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.11
chr8 55682838 55737188 55593116 55772060 cc-wc 18 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.12
chr8 55986011 56324423 55818813 56386709 wc-cc 22 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.13
chr9 38270062 38281256 38208040 42207171 cc-wc 56 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.14
chr9 67823516 68753750 63327814 68849722 wc-cc 54 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.15
chr10 123529104 124303578 123486493 124543750 ww-wc 19 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.16
chr10 124708955 124939437 124654434 125050981 wc-ww 19 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.17
chr12 62869759 62883110 62802397 63394656 cc-wc 62 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.18
chr12 65671208 65671336 62869684 65748745 wc-cc 61 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.19
chr15 60793924 60826656 60715215 60891117 cc-wc 73 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.20
chr15 72631125 72673776 72562257 72695712 wc-cc 87 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.21
chr15 74218778 74224772 74025863 74244587 cc-wc 92 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.22
chr15 89340932 89390551 89220018 89505393 wc-cc 87 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.23
chr16 59768905 59811124 59506184 60266541 cc-ww 172 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.24
chr19 17311140 17959503 17221349 18033720 ww-wc 49 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.25
chr19 19266553 19329242 18972164 19387546 wc-ww 48 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.26
chr20 28511168 28582149 26323963 29086111 ww-wc 52 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.27
chr20 31680407 31695733 30188425 31785699 wc-ww 54 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.28
chr21 13279380 13412870 10755965 13515809 wc-ww 95 blm-1-single-c10-w10_.trimmed.mdup.bam.RData.29
chr1 119754201 120511143 119459435 147925564 cc-wc 42 blm-1-single-c10-w11_.trimmed.mdup.bam.RData.1
chr1 150807319 150855839 145985261 150891397 wc-cc 39 blm-1-single-c10-w11_.trimmed.mdup.bam.RData.2
chr4 108740661 108801153 107685021 110079010 cc-ww 168 blm-1-single-c10-w11_.trimmed.mdup.bam.RData.3
chr5 25968170 26171264 24150990 27829011 cc-ww 171 blm-1-single-c10-w11_.trimmed.mdup.bam.RData.4
chr8 77252201 77573646 77079306 77820807 wc-cc 69 blm-1-single-c10-w11_.trimmed.mdup.bam.RData.5
chr9 130790954 130834025 130081981 131058900 wc-cc 159 blm-1-single-c10-w11_.trimmed.mdup.bam.RData.6
chr12 54033307 54147633 53226409 54867013 ww-cc 172 blm-1-single-c10-w11_.trimmed.mdup.bam.RData.7
chr15 72579039 72684835 72518587 72896111 cc-wc 45 blm-1-single-c10-w11_.trimmed.mdup.bam.RData.8
chr15 74820632 74910294 73342822 75008707 wc-cc 46 blm-1-single-c10-w11_.trimmed.mdup.bam.RData.9
chr22 23259671 23436650 22163103 24318440 cc-ww 167 blm-1-single-c10-w11_.trimmed.mdup.bam.RData.10
chr1 120144702 120375261 119877899 123142708 cc-wc 83 blm-1-single-c10-w12_.trimmed.mdup.bam.RData.1
chr1 151198567 151199050 145995962 151373002 wc-cc 79 blm-1-single-c10-w12_.trimmed.mdup.bam.RData.2
chr4 181378874 181451705 180493987 182529308 cc-ww 168 blm-1-single-c10-w12_.trimmed.mdup.bam.RData.3
chr9 38238530 38468602 37994490 41000380 cc-wc 28 blm-1-single-c10-w12_.trimmed.mdup.bam.RData.4
chr9 64088093 67179247 62955444 68491316 wc-cc 31 blm-1-single-c10-w12_.trimmed.mdup.bam.RData.5
chr13 90702227 90853818 88976763 92043567 ww-cc 170 blm-1-single-c10-w12_.trimmed.mdup.bam.RData.6
chr15 60796359 60817687 60713692 60972276 cc-wc 91 blm-1-single-c10-w12_.trimmed.mdup.bam.RData.7
chr3 75195414 75465317 72963921 78644283 cc-ww 169 blm-1-single-c10-w14_.trimmed.mdup.bam.RData.1
chr5 125038505 125176612 123533632 126759981 ww-cc 164 blm-1-single-c10-w14_.trimmed.mdup.bam.RData.2
chr7 70484589 70540867 68819629 71805465 cc-ww 157 blm-1-single-c10-w14_.trimmed.mdup.bam.RData.3
chr7 81746623 82049670 78607504 85622965 ww-cc 168 blm-1-single-c10-w14_.trimmed.mdup.bam.RData.4
chr8 88700655 89234396 88245333 89511493 cc-wc 82 blm-1-single-c10-w14_.trimmed.mdup.bam.RData.5
chr9 130789959 130847453 130505170 131096076 cc-wc 76 blm-1-single-c10-w14_.trimmed.mdup.bam.RData.6
chr12 69547939 69886333 68055299 70654543 cc-ww 152 blm-1-single-c10-w14_.trimmed.mdup.bam.RData.7
chr13 105333628 105337355 104828177 114337713 ww-wc 79 blm-1-single-c10-w14_.trimmed.mdup.bam.RData.8
chr15 36348547 36504827 34510117 37555476 ww-cc 170 blm-1-single-c10-w14_.trimmed.mdup.bam.RData.9
chrX 86965884 86990902 85922681 90113428 cc-ww 163 blm-1-single-c10-w14_.trimmed.mdup.bam.RData.10
chr1 119699155 120355000 119484708 120664337 ww-wc 45 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.1
chr1 149065510 149919417 146244976 150044018 wc-ww 91 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.2
chr5 57456621 57483858 56805810 57990047 ww-cc 175 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.3
chr5 162757673 162798558 162000276 163479792 cc-ww 173 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.4
chr6 94812709 94870239 94439195 95588057 cc-ww 169 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.5
chr7 40755061 40776037 40162790 41248411 cc-ww 175 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.6
chr8 81923592 81924933 81870758 81986770 ww-wc 81 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.7
chr8 136051928 136057357 135987514 136107142 wc-cc 97 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.8
chr9 130801327 130825582 130311125 130907147 cc-ww 172 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.9
chr11 21252904 21265606 20667087 21890632 ww-cc 172 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.10
chr12 53496192 53503619 52891685 54055395 ww-cc 175 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.11
chr15 63506767 63533441 63445798 63738608 cc-wc 87 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.12
chr15 72571934 72677915 72535372 72748420 wc-cc 71 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.13
chr15 74359038 74424732 74294236 74459056 cc-wc 83 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.14
chr15 89041892 89071684 89031017 89112457 wc-cc 74 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.15
chr16 78364530 78372193 77921891 78436621 ww-cc 161 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.16
chr17 26805472 26881042 26603886 26936410 ww-cc 13 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.17
chr17 26885821 27487054 26861353 27974244 cc-ww 15 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.18
chr20 24986746 26583153 24927586 28822541 cc-wc 43 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.19
chr20 30840183 31567439 29893247 31651566 wc-cc 43 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.20
chr21 14147806 14156329 10469372 14236974 wc-cc 58 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.21
chr22 23289324 23293730 22654385 23832624 ww-cc 170 blm-1-single-c10-w15_.trimmed.mdup.bam.RData.22
chr16 66001428 66019164 65446713 84831511 cc-wc 75 blm-1-single-c10-w17_.trimmed.mdup.bam.RData
chr1 121618430 122519358 121453347 122669822 ww-wc 59 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.1
chr1 125116329 125178966 124480017 143677199 wc-ww 54 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.2
chr1 146004308 146371755 145240703 147232500 ww-cc 46 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.3
chr1 148863437 149364262 148402404 150113561 cc-ww 103 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.4
chr2 56877205 56952279 56559520 57615350 ww-cc 167 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.5
chr5 96170701 96191708 95947468 96893460 ww-cc 168 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.6
chr6 4932087 4954385 4473806 5497363 ww-cc 170 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.7
chr7 57609764 57647436 57360078 57870903 ww-wc 27 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.8
chr7 63786751 63982610 60438524 64056040 wc-ww 18 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.9
chr9 38383777 38384445 38281538 42730535 ww-wc 56 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.10
chr9 68572559 68579632 62729163 68727656 wc-ww 56 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.11
chr12 62852059 62876967 62760545 63107077 cc-wc 67 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.12
chr12 64983941 65516350 63107003 65633558 wc-cc 66 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.13
chr13 50295710 50365706 49864727 50915966 cc-ww 168 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.14
chr15 60799075 60827465 60741347 60904515 ww-wc 86 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.15
chr15 72572290 72580112 72523747 72620190 wc-ww 79 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.16
chr15 74104549 74106640 74049559 74182962 ww-wc 88 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.17
chr15 89346773 89377425 89325378 89455796 wc-ww 94 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.18
chr16 9584309 9707329 9260706 10145161 ww-cc 170 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.19
chr16 32026456 32097288 31946333 32830429 cc-wc 141 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.20
chr16 34086359 34151992 32948204 34588228 wc-ww 133 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.21
chr16 46401555 46469754 46400086 46583864 ww-cc 140 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.22
chr21 13517901 13550704 10572028 13828858 wc-cc 78 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.23
chrX 37710944 37726430 36981009 38157936 ww-cc 171 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.24
chrX 131982267 132057087 131454090 132470042 cc-ww 168 blm-1-single-c10-w19_.trimmed.mdup.bam.RData.25
chr1 84602598 84645666 83629923 84713959 wc-ww 55 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.1
chr1 124681218 124695328 124377308 148826548 ww-wc 83 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.2
chr1 148512847 149135328 147819360 149645034 wc-ww 96 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.3
chr3 9373006 9385227 9313070 9916315 cc-wc 53 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.4
chr3 9575478 9606015 37400 10575264 wc-cc 53 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.5
chr3 30553076 30612218 30158534 30762046 cc-wc 54 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.6
chr3 157127680 157338979 157093850 157514805 wc-cc 64 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.7
chr4 153507089 153546714 152709167 153614255 wc-ww 52 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.8
chr6 47869333 47877879 47592177 48475257 ww-wc 60 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.9
chr6 86502655 86526649 85984951 86759647 wc-cc 68 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.10
chr6 92938507 92954546 92547888 93220818 cc-wc 66 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.11
chr7 20533311 20642946 20191323 21033630 ww-wc 80 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.12
chr7 74109354 74162023 73964310 74235294 wc-cc 73 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.13
chr8 135161808 135221778 134726208 135375944 wc-ww 55 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.14
chr8 139742247 139765525 139692447 140082298 ww-wc 45 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.15
chr9 115115409 115171003 115071999 115311621 wc-cc 62 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.16
chr9 120441206 120468776 120303598 120522994 cc-wc 62 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.17
chr10 21833227 21858189 21765559 21955861 wc-cc 72 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.18
chr10 107150760 107161836 105678088 107787470 cc-wc 50 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.19
chr10 107922240 107926083 107504862 108099680 wc-cc 58 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.20
chr11 19542869 19576862 19271648 19723529 wc-ww 60 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.21
chr11 31232204 31275540 31004738 31371987 ww-wc 57 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.22
chr11 31443813 31492981 31232129 32271629 wc-ww 56 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.23
chr11 31894484 31917826 31583020 32066975 ww-wc 62 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.24
chr12 118958050 118981303 118843193 119159649 wc-ww 67 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.25
chr15 23758434 23892970 20387369 24038129 wc-cc 51 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.26
chr15 36656806 36808787 36602834 37060203 cc-wc 55 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.27
chr15 36944072 37049345 17012486 37802859 wc-cc 48 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.28
chr15 38004097 38260760 37878625 38514985 cc-wc 52 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.29
chr16 46401641 46643563 46398878 46713743 wc-cc 87 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.30
chr20 26119618 28577839 25951453 28869303 ww-wc 38 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.31
chr20 30875337 31331323 29864327 31401828 wc-ww 37 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.32
chr21 14959668 14988920 14786547 15183068 wc-cc 31 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.33
chr21 15320744 15343192 13346680 16296342 cc-wc 29 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.34
chr22 24059812 24097669 23950852 24132834 wc-cc 103 blm-1-single-c10-w1_.trimmed.mdup.bam.RData.35
chr1 119344589 120478293 118963762 143264619 cc-wc 39 blm-1-single-c10-w21_.trimmed.mdup.bam.RData.1
chr1 150270143 151882257 150181993 152245339 wc-cc 32 blm-1-single-c10-w21_.trimmed.mdup.bam.RData.2
chr6 156525632 156579053 154448516 157665870 cc-ww 165 blm-1-single-c10-w21_.trimmed.mdup.bam.RData.3
chr9 129096917 129134485 128777768 131777829 ww-cc 126 blm-1-single-c10-w21_.trimmed.mdup.bam.RData.4
